#File format: word,sPoint,nPoint,yPoint,mPoint

#Sayori's winning words
в≥дчутт€,1,2,4,3
кульм≥нац≥€,1,2,4,3
електрика,1,2,4,3
в≥дмовитись,1,1,4,3
зневажати,2,1,4,3
неск≥нченний,2,1,4,3
в≥чн≥сть,2,1,4,3
час,2,1,4,3
всесв≥т,2,1,4,3
неск≥нченний,2,1,4,3
крапл≥_дощу,2,1,4,3
жадати,1,1,4,3
безстримний,1,1,4,3
пейзаж,2,1,4,3
портрет,2,1,4,3
подорож,2,1,4,3
м≥зерний,1,1,4,3
тривога,2,1,4,3
л€каючий,2,1,4,3
жах,2,1,4,3
меланхол≥€,2,1,4,3
прониклив≥сть,2,1,4,3
спокутувати,2,1,4,3
дихати,1,2,4,3
полонений,2,1,4,3
бажанн€,1,2,4,3
кладовище,2,1,4,3

#Monika's words
оркестр,1,1,2,4
утриманн€,2,3,1,4
п≥вн≥ч,2,2,3,4
н≥жний,1,2,2,4
терп≥нн€,1,1,3,4
суперництво,1,3,1,4
зусилл€,3,2,2,4
обмежений,2,1,2,4
спритн≥сть,1,2,3,4
тактовний,3,1,1,4
виливати,3,2,1,4
в≥дшкодуванн€,1,2,1,4
авантюра,2,1,2,4
заздрити,2,3,1,4
оф≥ц≥йний,1,1,3,4
л≥тература,2,2,3,4
загадка,3,2,2,4
вол€,1,2,3,4
зворушливий,3,2,3,4
таЇмний,3,2,3,4
муза,2,1,3,4
щасливий_випадок,1,2,2,4
сердечний,3,2,1,4
аромат,2,2,3,4
жад≥бн≥сть,3,3,1,4
палк≥сть,3,3,1,4
здатн≥сть,1,1,2,4
€сновид≥нн€,2,1,3,4
грав≥рувати,2,3,2,4
ка€тис€,3,1,2,4
таЇмничий,3,2,3,4
езотеричний,3,2,3,4
симул€кр,2,1,3,4
зм≥нний,2,1,3,4
збирати,1,1,3,4
перевершувати,2,1,2,4
ув≥чнювати,1,2,1,4
перифер≥€,3,2,3,4
убунту,3,2,1,4
Їмн≥сть,1,3,3,4
занурюватись,3,2,1,4
спотворювати,3,1,3,4
пихатий,2,1,3,4
безперервн≥сть,1,3,2,4
розсудливий,1,3,2,4
св≥дом≥сть,1,1,1,4
реальн≥сть,2,3,2,4
≥м≥тац≥€,3,1,2,4
майбутнЇ,1,2,1,4
досл≥дженн€,1,3,3,4
кава,2,2,1,4
смарагд,1,1,1,4
г≥г≥Їна,1,2,3,4
наст≥йлив≥сть,1,3,3,4
дощ,3,1,2,4
в≥дчуженн€,3,2,3,4
екстраверт,3,2,1,4
мода,3,3,2,4
л≥нгв≥стичний,2,2,3,4
творч≥сть,2,3,3,4
впевнен≥сть,2,1,3,4
об≥йми,2,3,3,4
душа,1,2,1,4
≥стина,1,3,2,4
ц≥нн≥сть,1,2,2,4
просв≥тленн€,1,3,2,4
безодн€,3,1,3,4
апокриф≥чний,3,2,3,4
в≥дмовитись,1,1,1,4
харчуванн€,2,2,3,4
зб≥гатис€,1,3,2,4
прос≥ювати,1,2,2,4
усам≥тненн€,3,1,3,4
